BIC;Name;Service SCT;Service SDD;Service COR1;Service B2B;Service SCC
BAERCHZZ   ;BANK JULIUS BAER AND CO.LTD., ZURICH                                                                                                        ;1;0;0;0;0
BAERDEF1   ;BANK JULIUS BEAR EUROPE AG                                                                                                                  ;1;1;0;0;0
BAERMCMC   ;JULIUS BAER (MONACO) S.A.M.                                                                                                                 ;1;1;0;0;0
BAFUITRR   ;BANCA DEL FUCINO                                                                                                                            ;1;1;0;1;0
BAFUITR1   ;BANCA DEL FUCINO                                                                                                                            ;1;1;0;1;0
BAIPPTPL   ;BANCO BAI EUROPA, SA                                                                                                                        ;1;1;0;0;0
BAKOSI2X   ;BANKA KOPER D.D.                                                                                                                            ;1;1;0;1;0
BALLDK21   ;SPAREKASSEN BALLING                                                                                                                         ;1;1;0;1;0
BALPLI22   ;BANK ALPINUM AG                                                                                                                             ;1;0;0;0;0
BAMAIT3A   ;BANCA DELLE MARCHE SPA                                                                                                                      ;1;1;0;1;0
BAMAIT31   ;BANCA DELLE MARCHE SPA                                                                                                                      ;1;0;0;0;0
BAMEITMM   ;MEDIOBANCA SPA                                                                                                                              ;1;0;0;0;0
BAMYFR22   ;BANQUE MICHEL INCHAUSPE - BAMI                                                                                                              ;1;1;0;1;0
BANODKKK   ;BANKNORDIK                                                                                                                                  ;1;0;0;0;0
BANVDEHB   ;BREMER KREDITBANK AG                                                                                                                        ;1;1;0;1;1
BAOFESM1   ;BANCOFAR S.A.                                                                                                                               ;1;1;0;1;0
BAOFESM1XXX;BANCOFAR S A                                                                                                                                ;1;0;0;0;0
BAOSATWW   ;BAUSPARKASSE DER OESTERREICHISCHEN SPARKASSEN AG                                                                                            ;1;1;0;1;0
BAPAPTPL   ;BANCO PRIVADO ATLANTICO-EUROPA, SA                                                                                                          ;1;1;0;0;0
BAPPIT21   ;BANCO POPOLARE                                                                                                                              ;1;1;0;1;0
BAPPIT22   ;BANCO POPOLARE SOC. COOP.                                                                                                                   ;1;1;0;1;0
BAPUES22   ;BANCA PUEYO, S.A.                                                                                                                           ;1;1;0;1;0
BAPUES22XXX;BANCA PUEYO                                                                                                                                 ;1;0;0;0;0
BARBBEBB   ;BANK OF BARODA (BRUSSELS BRANCH)                                                                                                            ;1;0;0;0;0
BARCCHGG   ;BARCLAYS BANK (SUISSE) S.A.                                                                                                                 ;1;0;0;0;0
BARCCYNN   ;BARCLAYS BANK PLC, INTERNATIONAL BANKING UNIT                                                                                               ;1;0;0;0;0
BARCDEFF   ;BARCLAYS BANK PLC                                                                                                                           ;1;1;0;1;1
BARCDEHA   ;BARCLAYCARD BARCLAYS BANK PLC                                                                                                               ;1;1;0;0;1
BARCESMM   ;BARCLAYS BANK S.A.U                                                                                                                         ;1;1;0;1;0
BARCFRPC   ;BARCLAYS BANK FRANCE                                                                                                                        ;1;0;0;0;0
BARCFRPP   ;BARCLAYS BANK PLC FRANCE                                                                                                                    ;1;1;0;1;0
BARCGB21   ;BARCLAYS BANK PLC UK                                                                                                                        ;1;0;0;0;0
BARCGB22   ;BARCLAYS BANK PLC                                                                                                                           ;1;1;0;1;0
BARCGB5G   ;BARCLAYS BANK PLC WHOLESALE                                                                                                                 ;1;0;0;0;0
BARCGIGI   ;BARCLAYS BANK PLC                                                                                                                           ;1;0;0;0;0
BARCIE2D   ;BARCLAYS BANK IRELAND PLC                                                                                                                   ;1;1;0;1;0
BARCITMM   ;BARCLAYS BANK PLC                                                                                                                           ;1;1;0;1;0
BARCMCMX   ;BARCLAYS BANK PLC MONACO                                                                                                                    ;1;1;0;0;0
BARCPTPC   ;BARCLAYS BANK PORTUGAL                                                                                                                      ;1;0;0;0;0
